,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Anger,Disgust,Fear,Joy,Sadness,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range
0,1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,Good Quality Dog Food,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,0.020339,0.177318,0.03102,0.71018,0.074603,0.879695,0.201574,0.0,0.960614,0.572485,0.206466,0.426583,0.525331
1,2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,Not as Advertised,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"".",0.063149,0.031706,0.050401,0.253285,0.490272,0.965157,0.0,0.649718,0.981428,0.683161,0.574776,0.13498,0.93928
2,3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,"""Delight"" says it all","This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.",0.135832,0.170774,0.051947,0.635368,0.110474,0.186171,0.090016,0.0,0.995284,0.658357,0.658242,0.186694,0.512088
3,4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,Cough Medicine,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,0.017107,0.011501,0.030202,0.829245,0.074603,0.873025,0.0,0.724637,0.943024,0.748841,0.35419,0.343993,0.848211
4,5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,Great taffy,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal.",0.010631,0.004121,0.008655,0.916795,0.022765,0.454902,0.895883,0.0,0.900254,0.299404,0.886512,0.670567,0.884411
5,6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,Nice Taffy,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.",0.096433,0.105412,0.024229,0.577153,0.185862,0.166766,0.661159,0.0,0.933997,0.491554,0.680592,0.178374,0.453991
6,7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,Great!  Just as good as the expensive brands!,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!",0.037921,0.109527,0.077382,0.77269,0.036599,0.049971,0.784724,0.0,0.985264,0.81374,0.569982,0.926438,0.645661
7,8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,"Wonderful, tasty taffy",This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,0.021695,0.017518,0.012249,0.883914,0.015762,0.0,0.986725,0.0,0.952921,0.52907,0.614725,0.895273,0.388843
8,9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,Yay Barley,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,0.01467,0.069969,0.091328,0.675322,0.118477,0.0,0.0,0.976157,0.781654,0.77948,0.340063,0.766403,0.056128
9,10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,Healthy Dog Food,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,0.013098,0.049644,0.071672,0.834448,0.048553,0.557345,0.979426,0.0,0.383353,0.105383,0.352566,0.630259,0.059353
10,11,B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",0.0205,0.00283,0.019837,0.484319,0.004518,0.006627,0.0,0.831733,0.92075,0.972419,0.802914,0.808111,0.835783
11,12,B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,1282867200,"My cats LOVE this ""diet"" food better than their regular food","One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy, and the protein-rich, no by-product food up higher where only my skinny boy can jump.  The higher food sits going stale.  They both really go for this food.  And my chubby boy has been losing about an ounce a week.",0.206857,0.362471,0.132128,0.046945,0.578914,0.071876,0.0,0.698156,0.263812,0.20322,0.604394,0.030202,0.366643
12,13,B0009XLVG0,A327PCT23YH90,LT,1,1,1,1339545600,My Cats Are Not Fans of the New Food,"My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately, I now need to find a new food that my cats will eat.",0.018337,0.197936,0.054319,0.549668,0.255614,0.737834,0.0,0.611114,0.646219,0.510744,0.001259,0.010814,0.139515
13,14,B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,1288915200,fresh and greasy!,good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!,0.014089,0.002703,0.010216,0.96182,0.007708,0.0,0.0,0.0,0.878147,0.699347,0.850602,0.870294,0.447318
14,15,B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,1268352000,Strawberry Twizzlers - Yummy,The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.,0.042658,0.03907,0.037965,0.867408,0.022007,0.0,0.0,0.893364,0.862022,0.843748,0.779899,0.935419,0.392538
15,16,B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,1262044800,"Lots of twizzlers, just what you expect.",My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.,0.084466,0.126379,0.059768,0.481542,0.263755,0.833452,0.906441,0.0,0.50912,0.766521,0.473183,0.490619,0.522726
16,17,B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,1348099200,poor taste,I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,0.049784,0.028628,0.011158,0.828269,0.083624,0.0,0.0,0.418235,0.225974,0.911083,0.354801,0.954796,0.369471
17,18,B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,1345075200,Love it!,I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,0.041858,0.013731,0.001216,0.846897,0.050469,0.0,0.985588,0.0,0.831856,0.863972,0.531923,0.997283,0.242589
18,19,B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,1324598400,GREAT SWEET CANDY!,"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You",0.056182,0.045447,0.041727,0.686431,0.079848,0.034775,0.714073,0.0,0.911224,0.908131,0.475227,0.083648,0.799689
19,20,B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,1318032000,Home delivered twizlers,Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,0.071312,0.011013,0.070116,0.06451,0.75427,0.421445,0.959846,0.0,0.207199,0.298777,0.543635,0.819739,0.665287
20,21,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,1313452800,Always fresh,"My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner.",0.161297,0.165747,0.05577,0.372649,0.251805,0.0,0.808712,0.0,0.627598,0.684827,0.683878,0.734807,0.452128
21,22,B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,0,0,5,1308960000,TWIZZLERS,"I bought these for my husband who is currently overseas. He loves these, and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag, and this was well worth the price. <a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",0.005029,0.018482,0.001886,0.457715,0.029152,0.0,0.0,0.0,0.952727,0.722701,0.528044,0.65592,0.56857
22,23,B001GVISJM,ARYVQL4N737A1,Charles Brown,0,0,5,1304899200,Delicious product!,I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.,0.027397,0.16651,0.075491,0.181013,0.595392,0.802429,0.882865,0.0,0.148718,0.13754,0.030528,0.398024,0.25517
23,24,B001GVISJM,AJ613OLZZUG7V,Mare's,0,0,5,1304467200,Twizzlers,I love this candy.  After weight watchers I had to cut back but still have a craving for it.,0.045158,0.068783,0.067353,0.510612,0.323813,0.029661,0.91171,0.0,0.210458,0.765681,0.022805,0.72154,0.152194
24,25,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1295481600,Please sell these in Mexico!!,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.",0.009762,0.005066,0.014912,0.530565,0.414938,0.0,0.532529,0.0,0.250693,0.85044,0.170099,0.98592,0.300526
25,26,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,1288310400,Twizzlers - Strawberry,"Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",0.031211,0.003393,0.002883,0.155257,0.016465,0.0,0.0,0.0,0.783577,0.405808,0.400019,0.32937,0.762363
26,27,B001GVISJM,A3RXAU2N8KV45G,lady21,0,1,1,1332633600,Nasty No flavor,"The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again",0.106207,0.152373,0.187553,0.054824,0.264339,0.0,0.0,0.970634,0.727851,0.791006,0.086751,0.282327,0.861106
27,28,B001GVISJM,AAAS38B98HMIK,Heather Dube,0,1,4,1331856000,Great Bargain for the Price,I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.,0.025739,0.008696,0.078932,0.370857,0.095579,0.0,0.0,0.0,0.463658,0.421423,0.425332,0.79283,0.771579
28,29,B00144C10S,A2F4LZVGFLD1OB,DaisyH,0,0,5,1338854400,YUMMY!,"I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!",0.008972,0.005453,0.013051,0.942602,0.029104,0.0,0.0,0.874805,0.727755,0.877716,0.371713,0.97451,0.426289
29,30,B0001PB9FY,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",0.0205,0.00283,0.019837,0.484319,0.004518,0.006627,0.0,0.831733,0.92075,0.972419,0.802914,0.808111,0.835783
30,31,B003F6UO7K,AFM0O9480F04W,Sherril,0,0,5,1297641600,Great machine!,"I have never been a huge coffee fan. However, my mother purchased this little machine and talked me into trying the Latte Macciato. No Coffee Shop has a better one and I like most of the other products, too (as a usually non-coffee drinker!).<br />The little Dolche Guesto Machine is super easy to use and prepares a really good Coffee/Latte/Cappuccino/etc in less than a minute (if water is heated up). I would recommend the Dolce Gusto to anyone. Too good for the price and I'am getting one myself! :)",0.09109,0.086766,0.04281,0.667259,0.445349,0.315169,0.0,0.744554,0.651514,0.279751,0.716341,0.12816,0.495867
31,32,B003F6UO7K,A31OQO709M20Y7,"Molly V. Smith ""staral""",0,1,5,1288310400,THIS IS MY TASTE...,"This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral",0.00488,0.003115,0.002963,0.447771,0.004518,0.0,0.0,0.0,0.747954,0.590479,0.654036,0.6536,0.94901
32,33,B001EO5QW8,AOVROBZ8BNTP7,S. Potter,19,19,4,1163376000,Best of the Instant Oatmeals,"McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact, however, that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation.  Still, the McCann's is as good as it gets for instant oatmeal. It's even better than the organic, all-natural brands I have tried.  All the varieties in the McCann's variety pack taste good.  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue.<br /><br />McCann's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product.  Real sugar tastes better and is not as harmful as the other stuff. One thing I do not like, though, is McCann's use of thickeners.  Oats plus water plus heat should make a creamy, tasty oatmeal without the need for guar gum. But this is a convenience product.  Maybe the guar gum is why, after sitting in the bowl a while, the instant McCann's becomes too thick and gluey.",0.093447,0.130121,0.08488,0.619466,0.166585,0.214822,0.0,0.352572,0.873474,0.789881,0.207796,0.005098,0.821683
33,34,B001EO5QW8,A3PMM0NFVEJGK9,"Megan ""Bad at Nicknames""",13,13,4,1166313600,Good Instant,"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.",0.076531,0.015679,0.016201,0.834263,0.059371,0.590914,0.0,0.394761,0.858033,0.924869,0.466819,0.073041,0.926636
34,35,B001EO5QW8,A2EB6OGOWCRU5H,CorbyJames,9,9,5,1175212800,Great Irish oatmeal for those in a hurry!,"Instant oatmeal can become soggy the minute the water hits the bowl. McCann's Instant Oatmeal holds its texture, has excellent flavor, and is good for you all at the same time. McCann's regular oat meal is excellent, too, but may take a bit longer to prepare than most have time for in the morning. This is the best instant brand I've ever eaten, and a very close second to the non-instant variety.<br /><br />McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)",0.037759,0.024813,0.009424,0.705991,0.021396,0.0,0.621183,0.0,0.770862,0.921733,0.207665,0.048578,0.883763
35,36,B001EO5QW8,A2CI0RLADCRKPF,T. J. Ryan,3,3,4,1210464000,satisfying,"McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)<br /><br />I'm a fan of the McCann's steel-cut oats, so I thought I'd give the instant variety a try. I found it to be a hardy meal, not too sweet, and great for folks like me (post-bariatric surgery) who need food that is palatable, easily digestible, with fiber but won't make you bloat.",0.025585,0.019426,0.035261,0.526886,0.043333,0.0,0.0,0.642407,0.926101,0.776854,0.493096,0.56691,0.680784
36,37,B001EO5QW8,A1MYS9LFFBIYKM,"Abby Chase ""gluten free""",2,2,5,1190851200,Love Gluten Free Oatmeal!!!,"For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store!  I love McCann's instant oatmeal - all flavors!!!<br /><br />Thanks,<br />Abby",0.009529,0.001253,0.011532,0.481959,0.004678,0.0,0.0,0.884138,0.923414,0.995835,0.789539,0.788681,0.94698
37,38,B001EO5QW8,A3MGP2E1ZZ6GRB,"Zardoz ""focuspuller""",1,1,5,1238457600,it's oatmeal,"What else do you need to know? Oatmeal, instant (make it with a half cup of low-fat milk and add raisins;nuke for 90 seconds). More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something. It's still just oatmeal. Mmm, convenient!",0.305341,0.33414,0.177189,0.045689,0.32068,0.376315,0.0,0.980488,0.552213,0.663706,0.309357,0.210383,0.876729
38,39,B001EO5QW8,A2GHZ2UTV2B0CD,JERRY REITH,0,0,4,1350777600,GOOD WAY TO START THE DAY....,"I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE , HE CAME OUT OF HIS STORAGE ROOM WITH ( A PACKET OF McCANNS INSTANT IRISH OATMEAL .) HE SUGGESTED THAT I TRY IT FOR MY OWN USE ,IN MY STASH . SOMETIMES NATE DOSE NOT GIVE YOU A CHANCE TO SAY NO , SO I ENDED UP TRYING THE APPLE AND CINN . FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED MILK . IT GOES GOOD WITH O.J. AND COFFEE AND A SLICE OF TOAST AND YOUR READY TO TAKE ON THE WORLD...OR THE DAY AT LEAST..  JERRY REITH...",0.725301,0.082878,0.065509,0.15137,0.204491,0.0,0.0,0.882072,0.602999,0.898982,0.459128,0.460726,0.898663
39,40,B001EO5QW8,AO80AC8313NIZ,kYpondman,0,0,5,1317168000,Wife's favorite Breakfast,"I ordered this for my wife as it was reccomended by our daughter.  She has this almost every morning and likes all flavors.  She's happy, I'm happy!!!<br /><a href=""http://www.amazon.com/gp/product/B001EO5QW8"">McCANN'S Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)</a>",0.025608,0.004895,0.008308,0.706951,0.00858,0.0,0.780034,0.0,0.841399,0.947098,0.543437,0.629578,0.902779
40,41,B001EO5QW8,AQCY5KRO7489S,Garrett,0,0,5,1303430400,Why wouldn't you buy oatmeal from Mcanns? Tastes great!,"The variety packs taste great!<br /><br />I have them every morning. At $0.30 cents per meal, I don't understand why everyone on earth isn't buying this stuff up.<br /><br />Maple and brown sugar is terrific, followed by apples and cinnamon, followed by regular. You don't get tired of the same ole thing, and they taste great.<br /><br />I just boil water from a small pot, empty the packet or 2 in a bowl, pour in boiling water, and watch it expand to 2x its size!<br /><br />Taste really good and takes minutes to prepare.<br /><br />Not sure why everyone on earth isn't this. Convenient, healthy, very quick, excellent quality, and extremely cheap...",0.005531,0.000353,0.002004,0.401787,0.001954,0.0,0.0,7e-05,0.560203,0.882165,0.425856,0.255973,0.800423
41,42,B001EO5QW8,A1WK4ALVZDYPUE,"Dick Baldwin ""christobe""",0,0,5,1302134400,Oatmeal For Oatmeal Lovers,"McCann's makes oatmeal for every oatmeal connoisseur, whether one likes it from the raw pellet state that cooks for half an hour, to the sloth addled instant, which can be done in the microwave for under three minutes. It's all good, that's for sure, and the beauty of the instant variety is that it is available in different flavors as well as regular.<br />  This variety pack allows different tastes to be explored, as well as giving you a chance to experience the difference between McCann's and other well-known oatmeals. What I personally like about McCann's is that it cooks up thicker and with more body than the top brand here in America. The Apples & Cinnamon, though, tends to be a little liquidy so you may want to experiment with the amount of water you add. In my 1300watt microwave the oatmeal cooks up in about one minute and twenty-seven seconds, so you should also watch that to get a handle on how much time and water to use.<br />  The only bad thing -- if you can consider it a bad thing -- about this offering is that you have to buy in lot so you'll end up with six ten-count boxes. This is good if you have a whole family of oatmeal-eaters, but if you're a single person alone -- well, love oatmeal.",0.168655,0.134537,0.107251,0.647631,0.165763,0.226387,0.0,0.066687,0.794492,0.895454,0.498207,0.304454,0.842283
42,43,B001EO5QW8,A16XFOYQSJREL7,Roger Pugliese,0,0,5,1287014400,Food-Great,I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy,0.005738,0.004332,0.013581,0.776051,0.015838,0.0,0.86436,0.0,0.631232,0.940502,0.151811,0.872581,0.88466
43,44,B001EO5QW8,A17DW6SUOC70DJ,Mother of 9,0,0,5,1255392000,Good Hot Breakfast,"McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon, but we find that none of these are overly sugary.  For a good hot breakfast in 2 minutes, this is excellent.",0.01627,0.02565,0.033902,0.898426,0.026426,0.706075,0.27866,0.0,0.95268,0.86339,0.880882,0.293546,0.73447
44,45,B001EO5QW8,A2G7B7FKP2O2PU,D. Leschke,0,0,5,1209686400,Great taste and convenience,We really like the McCann's steel cut oats but find we don't cook it up too often.<br />This tastes much better to me than the grocery store brands and is just as convenient.<br />Anything that keeps me eating oatmeal regularly is a good thing.,0.009262,0.005331,0.01579,0.5766,0.011565,0.0,0.0,0.942233,0.737345,0.844928,0.397265,0.413867,0.725324
45,46,B001EO5QW8,A39Z97950MCTQE,K. A. Freel,0,0,3,1205193600,Hearty Oatmeal,"This seems a little more wholesome than some of the supermarket brands, but it is somewhat mushy and doesn't have quite as much flavor either.  It didn't pass muster with my kids, so I probably won't buy it again.",0.115382,0.125084,0.132383,0.166786,0.42047,0.0,0.0,0.979706,0.413627,0.000585,0.001465,0.230007,0.003985
46,47,B001EO5QW8,AQLL2R1PPR46X,grumpyrainbow,0,0,5,1192752000,good,Good oatmeal.  I like the apple cinnamon the best.  Though I wouldn't follow the directions on the package since it always comes out too soupy for my taste.  That could just be me since I like my oatmeal really thick to add some milk on top of.,0.044429,0.042325,0.019295,0.648974,0.265294,0.520612,0.0,0.939584,0.640348,0.970091,0.474966,0.431741,0.867432
47,48,B001EO5QW8,A26AY1TFK8BQXQ,"kbogo ""shoelover""",1,2,3,1200096000,Mushy,"The flavors are good.  However, I do not see any differce between this and Oaker Oats brand - they are both mushy.",0.073068,0.024617,0.048767,0.509743,0.042391,0.573521,0.0,0.893364,0.960498,0.563324,0.675839,0.458997,0.229064
48,49,B001EO5QW8,ALOR97KTZTK1P,knitty pants,1,2,4,1191715200,Very good but next time I won't order the Variety Pack,"I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick, easy and satisfying breakfast and I'll order this brand again, but not the variety. I'll get all Maple and Brown Sugar.",0.057187,0.043974,0.027521,0.801285,0.047812,0.372697,0.862626,0.0,0.986723,0.677279,0.749345,0.409266,0.88905
49,50,B001EO5QW8,A276999Y6VRSCQ,JMay,0,1,3,1334016000,Same stuff,This is the same stuff you can buy at the big box stores.  There is nothing healthy about it.  It is just carbs and sugars.  Save your money and get something that at least has some taste.,0.13231,0.299857,0.112648,0.203186,0.362914,0.0,0.0,0.975179,0.796106,0.806273,0.40847,0.561821,0.810389
50,51,B001EO5QW8,A108P30XVUFKXY,Roberto A,0,7,1,1203379200,Don't like it,"This oatmeal is not good. Its mushy, soft, I don't like it. Quaker Oats is the way to go.",0.162575,0.069733,0.110304,0.146838,0.446742,0.025586,0.0,0.733641,0.628699,0.699603,0.148105,0.34832,0.517694
51,52,B000G6RPMY,A3S5KJDA6ED2PS,Mike Kaser,4,4,5,1243900800,HOT!  And good!  Came back for more  :),"Got a free package of these with a bottle of bloody mary mix I bought from the seller, and the advertising worked..lol,  I tried them, and shared them with 2 buddies, and we all loved them...  So im here to buy more, and noticed there were no reviews yet,...  well now there is.  They are Hot,  but not ""burn your mouth forever hot""  its a nice temp...  Perfect for us..",0.035091,0.013116,0.018067,0.792028,0.15561,0.0,0.888493,0.0,0.882129,0.969626,0.7185,0.944916,0.721958
